Resource Name,County,National Register Date,National Register Number,Longitude,Latitude,Georeference
Barna C. Roup House,Wyoming,8/10/2015,15NR00049,-78.00116181,42.71735196,POINT (-78.00116181 42.71735196)
Stone-Tolan House,Monroe,7/21/1983,90NR01449,-77.54229291,43.14011641,POINT (-77.54229291 43.14011641)
Silvernail House,Columbia,6/11/2010,10NR06100,-73.62209727,42.02792716,POINT (-73.62209727 42.02792716)
Bute-Warner-Truax Farm,Schoharie,7/25/1985,90NR02680,-74.65677968,42.57412806,POINT (-74.65677968 42.57412806)
Flatbush Town Hall,Kings,7/24/1972,90NR01294,-73.95693179,40.64895663,POINT (-73.95693179 40.64895663)
Pine Grove Community Church,Lewis,8/20/2009,08NR05960,-75.37693792,43.75203382,POINT (-75.37693792 43.75203382)
Jenkins Octagon House,Schenectady,10/11/1984,90NR02629,-74.18455773,42.75876127,POINT (-74.18455773 42.75876127)
Wynkoop House,Ulster,9/7/1984,90NR01080,-73.97465105,42.08801969,POINT (-73.97465105 42.08801969)
South Hamilton Street Row,Dutchess,11/26/1982,90NR00423,-73.92600667,41.69700488,POINT (-73.92600667 41.69700488)
"Enlarged Lock No. 50, Old Erie Canal",Onondaga,,02NR01890,-76.22682595,43.06646522,POINT (-76.22682595 43.06646522)
Neiderhurst,Rockland,7/12/1990,90NR03077,-73.90645748,41.00866117,POINT (-73.90645748 41.00866117)
Poughkeepsie Railroad Bridge,Dutchess,2/23/1979,90NR00370,-73.94003771,41.71057487,POINT (-73.94003771 41.71057487)
Stonecrest,Dutchess,7/9/1987,90NR00354,-73.91221089,41.87680907,POINT (-73.91221089 41.87680907)
Oakwood Cemetery,Onondaga,5/9/1991,90NR03310,-76.13584884,43.03063086,POINT (-76.13584884 43.03063086)
"Van Peyma, Herman B., House",Erie,11/30/1999,99NR01542,-78.66276009,42.89789305,POINT (-78.66276009 42.89789305)
Walling Cobblestone Tavern,Wayne,3/17/1994,92NR00422,-77.01187614,43.22196196,POINT (-77.01187614 43.22196196)
Cobble Villa,Nassau,1/27/2015,14NR06602,-73.6730878,40.59259328,POINT (-73.6730878 40.59259328)
Chemung Canal Bank Building,Chemung,6/23/1978,90NR00140,-76.8005213,42.08876445,POINT (-76.8005213 42.08876445)
"Van Buren, Volkert, House",Oswego,10/7/1988,90NR02142,-76.42630244,43.36714041,POINT (-76.42630244 43.36714041)
Ellis Squires Jr. House,Suffolk,11/9/2017,17NR00032,-72.52568503,40.8975356,POINT (-72.52568503 40.8975356)
"Roosevelt, Eleanor, National Historic Site",Dutchess,3/20/1980,90NR00301,-73.89891081,41.76208424,POINT (-73.89891081 41.76208424)
369th Regiment Armory,New York,1/28/1994,93NR00511,-73.93516357,40.81789107,POINT (-73.93516357 40.81789107)
Winans-Huntting House,Dutchess,5/15/2017,16NR00026,-73.64339891,41.94814632,POINT (-73.64339891 41.94814632)
United States Post Office-Seneca Falls,Seneca,5/11/1989,90NR02215,-76.79784683,42.91163313,POINT (-76.79784683 42.91163313)
The Kirkland Hotel,Ulster,11/15/2002,02NR04937,-74.0165957,41.93312274,POINT (-74.0165957 41.93312274)
South Peterboro Street Commercial Historic District,Madison,5/23/1986,90NR01435,-75.75140596,43.07841131,POINT (-75.75140596 43.07841131)
"Warner, H. H., Building",Monroe,10/4/1985,90NR01503,-77.60913884,43.15842174,POINT (-77.60913884 43.15842174)
West 28th Street Subway Station (Dual System IRT),New York,3/30/2005,04NR05302,-73.99345223,40.74711792,POINT (-73.99345223 40.74711792)
Bartlett House,Columbia,5/9/2012,12NR06313,-73.61861765,42.32709316,POINT (-73.61861765 42.32709316)
Albany Glassworks Site,Albany,7/22/1980,90NR01670,-73.91137691,42.69978987,POINT (-73.91137691 42.69978987)
U.S. Inspection Station--Fort Covington,Franklin,,12NR06307,-74.50472841,44.99570074,POINT (-74.50472841 44.99570074)
Epworth Hall,Wyoming,4/6/2000,99NR01521,-78.02108086,42.69804545,POINT (-78.02108086 42.69804545)
First Presbyterian Church of Oyster Bay,Nassau,12/12/1976,90NR01726,-73.5286524,40.87161254,POINT (-73.5286524 40.87161254)
"Parsonage, The",Greene,4/6/2005,04NR05382,-74.15518618,42.41240268,POINT (-74.15518618 42.41240268)
Adelaide Avenue School,Ontario,4/26/1984,90NR01995,-77.2860926,42.88371736,POINT (-77.2860926 42.88371736)
Elmbrook Farm,Rensselaer,5/21/2001,01NR01769,-73.71014161,42.57314287,POINT (-73.71014161 42.57314287)
Brand Hollow Road Stone Arch Bridge,Greene,4/10/2008,07NR05774,-74.23951905,42.40337471,POINT (-74.23951905 42.40337471)
Windfall Dutch Barn,Montgomery,11/22/2000,00NR01676,-74.7443358,42.85897669,POINT (-74.7443358 42.85897669)
Phillips House,Dutchess,11/26/1982,90NR00416,-73.92653377,41.69749043,POINT (-73.92653377 41.69749043)
Allen-Beville House,Queens,9/22/1983,90NR01590,-73.75031742,40.77284793,POINT (-73.75031742 40.77284793)
Union Street-Academy Hill Historic District,Orange,11/21/1980,90NR02354,-74.23810298,41.52498837,POINT (-74.23810298 41.52498837)
Highland Park Carousel (Ideal Park Carousel),Broome,1/25/1992,95NR00829,-76.02880661,42.12532003,POINT (-76.02880661 42.12532003)
"Burr, Carll, Jr., House",Suffolk,9/26/1985,90NR01807,-73.30218609,40.85223215,POINT (-73.30218609 40.85223215)
Lodi Methodist Church,Seneca,5/6/1982,90NR02220,-76.82244049,42.61253217,POINT (-76.82244049 42.61253217)
United States Post Office-Lake George,Warren,5/11/1989,90NR02740,-73.71298213,43.42372272,POINT (-73.71298213 43.42372272)
"Morrill Hall, Cornell University",Tompkins,10/15/1966,90NR02246,-76.48530005,42.44865234,POINT (-76.48530005 42.44865234)
